topic,timestamp,title,docs
2,2023-9-20,Cao tốc Cần Thơ - Cà Mau có thêm nửa triệu m3 cát đắp nền - VnExpress,mỏ cát giao nằm sông tiền xã an_nhơn huyện_châu_thành tiếp_nhận tổng_công_ty xây_dựng ctcp nhà_thầu thi_công dự_án thành_phần đoạn cần_thơ hậu_giang hậu_giang cà_mau dự_án cao_tốc_bắc_nam_phía_đông đồng_tháp giao cung_ứng triệu dự_án cao_tốc_cần_thơ_cà_mau tổng_số triệu công_trình cát chính_phủ giao an_giang vĩnh_long trách_nhiệm cung_ứng song hai địa_phương bàn_giao cao_tốc_cần_thơ_cà_mau km tuyến nối km rộng làn tổng vốn đầu_tư tỷ đồng khởi_công công_trình tuyến đồng_bằng_sông_cửu_long kết_nối tỉnh_thành cầu ngọc_tài
1,2023-9-21,Thủ tướng trao Huân chương Hữu nghị cho bà Aurélia Nguyễn - VnExpress,lãnh_đạo chính_phủ việt_nam trao huân_chương aurélia nguyễn_nhân_dịp tham_dự phiên thảo_luận đại_hội_đồng liên_hợp quốc_khóa khuya việt_nam huân_chương hữu_nghị nhà_nước việt_nam ghi_nhận aurélia nguyễn công_tác phòng_chống covid tiếp_cận vaccine dịch_bệnh aurélia nguyễn_thủ_tướng đề_nghị gavi việt_nam tiếp_cận vaccine phòng_chống dịch_bệnh xây_dựng chiến_lược nâng tiêm_chủng mở_rộng tiếp_nhận chuyển_giao công_nghệ vaccine mrna mong_muốn kết_nối chuyên_gia tổ_chức doanh_nghiệp nước_ngoài uy_tín sẵn_sàng hợp_tác thuận_lợi chuyển_giao công_nghệ kỹ_năng sản_xuất sinh_phẩm vaccine đối_tác việt_nam giám_đốc chiến_lược gavi vinh_dự huân_chương cao_quý nhà_nước việt_nam hợp_tác chặt_chẽ hiệu_quả ngành y_tế việt_nam thông_qua dự_án triển_khai vaccine chương_trình tiêm_chủng mở_rộng trẻ_em việt_nam hoạt_động tiến loại_trừ bệnh sởi_rubella tăng_cường chất_lượng tiêm_chủng dây_chuyền lạnh bảo_quản vaccine aurélia nguyễn lãnh_đạo chiến_lược chính_sách lĩnh_vực vaccine toàn_cầu pháp gốc việt cảm_tình quê_hương việt_nam phòng_chống dịch_bệnh covid thường_xuyên điện_đàm trao_đổi thư lãnh_đạo việt_nam covax gavi tổ_chức y_tế thế_giới who liên_minh_sáng_kiến_sẵn_sàng_đối_phó đại_dịch cepi phối_hợp covax miễn_phí việt_nam triệu liều vaccine phòng_chống covid cam_kết covax việt_nam triệu liều giai_đoạn việt_nam chống dịch chống giặc aurélia nguyen covax đồng_hành việt_nam phòng_chống dịch thông_qua cung_cấp vaccine kỹ_thuật phục_vụ tiêm_chủng phối_hợp tìm_kiếm vaccine cơ_chế chi_phí thủ_tướng phạm_minh new york tham_gia phiên họp đại_hội_đồng liên_hợp_quốc kết_thúc hoạt_động san_francisco washington chuyến công_tác mỹ thủ_tướng kéo_dài diễn chuyến thăm việt_nam tổng_thống mỹ joe_biden
8,2023-9-21,Phà chở 15.000 lượt người mỗi ngày ở miền Tây bị dừng hoạt động - VnExpress,công_văn chấm_dứt hoạt_động bến phà an_bình phó chủ_tịch ubnd tp vĩnh_long đặng_minh_quân gửi huyện_long_hồ hạn_chế thiệt_hại tài_sản hoạt_động tuyến phà phạm_vi tình_huống sạt_lở khẩn_cấp tỉnh_vĩnh_long công_bố phó chủ_tịch ubnd huyện long_hồ võ_trung_sơn bến phà an_bình hoạt_động địa_phương tổ_chức đấu_thầu phục_vụ nhu_cầu đi_lại người_dân xã an_bình bình hòa phước hòa_ninh đồng_phú tp_vĩnh_long học_tập làm_việc hàng sơn khu_vực hoạt_động bến phà nằm phạm_vi tình_huống sạt_lở khẩn_cấp dừng ubnd_tp_vĩnh_long hiệu_lực người_dân xã cù_lao địa_phương tp vĩnh_long vòng phà_đình_khao km huyện khẩn_trương phương_án ý_kiến tỉnh hướng giải_quyết an_toàn sơn thống_kê sơ_bộ xe_đạp xe_máy bến phà an_bình tp_vĩnh_long ubnd_tỉnh_vĩnh_long công_bố tình_huống khẩn_cấp bờ sông cổ_chiên sông_long_hồ đoạn bến phà an_bình giáp tuyến kè sông_long_hồ km nguy_cơ sụt lún sạt_lở cửu_long
3,2023-9-20,Giám đốc Công an Hà Nội: Loại nhà nào cũng phải có phương án phòng cháy - VnExpress,chiều tiếp_xúc cử_tri tây_hồ kỳ họp quốc_hội khóa trung vụ cháy chung_cư mini khương hạ_công_an_hà_nội tham_mưu chủ_tịch ubnd thành_phố ban_hành chỉ_thị công_tác phòng cháy chữa_cháy pccc chung_cư xã_hội tái định_cư liên_quan_quyền con_người bảo_vệ hiến_pháp trung công_trình diện thẩm_duyệt phương_án pccc cứu nạn cứu_hộ đứng đầu công_an thành_phố kiểm_tra tổ_chức đảng quận_thanh_xuân thường_trực thành ủy trách_nhiệm tổ_chức quản_lý_nhà_nước pccc tướng trung_nguyên_nhân cháy điện vụ cháy thiệt_hại xảy đông trung_tâm thương_mại cơ_sở karaoke chung_cư mini dẫn_chứng vụ cháy trung_tâm thương_mại itc tp_hcm chết thống_kê vụ cháy chung_cư mini hà_nội đứng hai chết tiếp vụ cháy quán karaoke bình_dương quán karaoke cầu giấy hà_nội đường_sá hà_nội phố ngõ nhà_cửa chen_chúc quy_hoạch hệ_thống pccc trung công_tác pccc khái_niệm vàng nghĩa_là dập phút xảy cháy chống cháy lan thành_ủy_hà_nội ban_hành chỉ_thị nhiệm_vụ trọng_tâm_pccc nhấn_mạnh đứng đầu ủy chính_quyền cơ_quan doanh_nghiệp trách_nhiệm xảy cháy nổ thiệt_hại nghiêm_trọng tài_sản phạm_vi lãnh_đạo quản_lý đêm rạng chung_cư mini cao_tầng căn_hộ phố khương hạ phường_khương_đình bốc cháy tử_vong bị_thương giấy_phép xây_dựng quận_thanh_xuân công_trình vốn phép xây riêng_lẻ tầng diện_tích xây_dựng tầng mật_độ tổng_chiều công_trình chủ đầu_tư biến công_trình tầng thành chung_cư mini cao_tầng diện_tích xây_dựng chia thành căn_hộ bán_chủ chung_cư mini_nghiêm_quang_minh khởi_tố tạm giam tội vi_phạm quy_định phòng cháy chữa_cháy bộ_luật_hình_sự võ_hải
1,2023-9-20,Hàng loạt cây rừng bị đầu độc - VnExpress,ban quản_lý rừng_phòng_hộ đầu liên_hồ sông sắt sông trâu phát_hiện khu rừng lâm_phần quản_lý xã_phước_đại dấu_hiệu đầu_độc hai hôm sở_nông_nghiệp_và_phát_triển_nông_thôn_tỉnh_ninh_thuận kiểm_tra ghi_nhận rừng tự_nhiên đường_kính cm đầu_độc khu rừng tự_nhiên loài chủ_yếu thành ngạnh cà_nhí cóc rừng na_sắn ổi cà_gằng căm_xe phương_thức hủy_hoại rừng tự_nhiên xảy địa_bàn đại_diện sở_nông_nghiệp_và_phát_triển_nông_thôn_tỉnh_ninh_thuận nhận_định chủ_tịch ubnd tỉnh ninh_thuận chỉ_đạo công_an tỉnh phối_hợp lực_lượng kiểm_lâm chủ rừng xác_minh điều_tra thủ_phạm đầu_độc rừng tiểu_khu huyện_bác_ái việt_quốc
2,2023-9-20,Thông xe cầu giúp giảm ùn tắc cho trung tâm Nha Trang - VnExpress,công_trình thay_thế cầu cũ nằm đường rộng làn xe nối cù_lao cồn nhất_trí bắc thành_phố_nha_trang sở giao_thông vận_tải dự_án cầu xóm bóng hoàn_thành giải_tỏa xe cầu_trần_phú nằm thường_xuyên ùn_tắc cao_điểm dịp lễ cầu thuận_lợi người_dân trung_tâm tp_nha_trang bắc ngược_lại nhấn du_lịch thành_phố biển cầu xóm bóng cũ pháp xây di_tích tháp ponagar thu_hút du_khách nha_trang bùi_toàn
5,2023-9-21,Nụ cười của trẻ vùng cao trong ngày nhận nhà vệ sinh học đường - VnExpress,lễ trẻ_em đồng_văn hoạt_động đố vui thưởng gấu đồ_dùng học_tập tài_liệu vệ_sinh học_đường … em_năng nổ giơ trả_lời thể_hiện hiểu_biết trau_dồi kỹ_năng kiến_thức vệ_sinh học_đường chương_trình giàng ngọc_minh học_sinh lớp e_trường_ptdt_bt_tiểu_học_ma_lé xếp_hàng chờ lượt nhà_vệ_sinh đi_minh cố_gắng nhà_vệ_sinh mùi thoải_mái rửa hàng tuần phân_công trực_nhật lá giấy cứng bồn cầu nhà_vệ_sinh sạch_đẹp _minh thích_thú giàng_ngọc_minh cô_cậu học_trò giấu nổi niềm hân_hoan công_trình vệ_sinh bàn_giao quà gửi học_sinh đồng_văn tâm_huyết quỹ hy_vọng nhãn hàng men ống vi_sinh enterogermina đồng_hành dự_án dự_án bể lọc cấp_nước sinh_hoạt trường đồng_văn giúp nỗi lo hoàng_thị bé giáo_viên trường_mã sồ ptdtbt th thcs lũng_táo nhà_trường hướng_dẫn học_sinh vệ_sinh thoa xà_phòng hai cọ_xát giây rửa sạch vòi_nước rửa mu_kẽ đầu ngón chuẩn bộ_y_tế quỹ hy_vọng nhãn hàng men ống vi_sinh enterogermina sanofi việt_nam bàn_giao nhà_vệ_sinh khang_trang học_sinh giáo_viên huyện vân_hồ tỉnh_sơn_la tổ_chức hoạt_động tập_huấn giáo_dục vệ_sinh học_đường mong_muốn trẻ_em vùng_cao sức khỏe học_tập quỹ hy_vọng đồng_hành nhãn hàng men ống vi_sinh enterogermina tái_khởi_động dự_án vệ_sinh học_đường đồng_văn hà_giang
5,2023-9-13,Nhà vệ sinh học đường tại Đồng Văn 'lột xác' sau 3 tháng - VnExpress,đại_diện quỹ hy_vọng nhãn hàng men ống vi_sinh enterogermina sanofi việt_nam tham_gia bàn_giao công_trình dự_án xây nhà_vệ_sinh học_đường thầy_trò huyện_đồng_văn đại_diện phòng_giáo_dục_và_đào_tạo_huyện_đồng_văn chất_lượng nhà_vệ_sinh nhà_vệ_sinh trường má lủ trường_tiểu_học_đồng_văn_b khoang phân_chia nam nữ đầy_đủ hệ_thống tự_hoại thiết_kế trường_mã sồ trường_ptdt_bt_tiểu_học_thcs_lũng_táo nhà_vệ_sinh khoang góp_phần giải_quyết nhà_vệ_sinh xuống_cấp quá_tải nhà_vệ_sinh khoang trường_ptdt_bt_tiểu_học_ma_lé niềm phấn_khởi thầy_cô học_sinh nhà_vệ_sinh khởi_công xây_dựng dự_án vệ_sinh học_đường quỹ_hy_vọng triển_khai dự_án bể lọc cấp_nước sinh_hoạt trường đồng_văn giúp nỗi lo quỹ hy_vọng nhãn hàng men ống vi_sinh enterogermina sanofi việt_nam bàn_giao nhà_vệ_sinh khang_trang học_sinh giáo_viên huyện vân_hồ tỉnh_sơn_la tổ_chức hoạt_động tập_huấn giáo_dục vệ_sinh học_đường mong_muốn trẻ_em vùng_cao sức khỏe học_tập quỹ hy_vọng đồng_hành nhãn hàng men ống vi_sinh enterogermina tái_khởi_động dự_án vệ_sinh học_đường đồng_văn hà_giang
8,2023-9-11,Bệnh tiêu chảy ảnh hưởng sức khỏe của trẻ nhỏ như thế nào - VnExpress,bác_sĩ nguyễn_trần nam_phó giám_đốc bệnh_viện nhi_đồng thành_phố tp_hcm bệnh tiêu_hóa chiếm tổng_số mặt bệnh trẻ đứng hàng bệnh hô_hấp bác_sĩ nam tiêu_chảy lây_lan môi_trường học_sinh đông_đúc ảnh_hưởng học_tập sinh_hoạt phòng_bệnh bác_sĩ nam khuyến_cáo môi_trường vệ_sinh chuẩn trẻ nhà_vệ_sinh thông_thoáng sạch_sẽ nước_sạch xà_phòng rửa chi_lê
6,2023-8-6,Gỡ 'nút thắt' quy hoạch thành phố trong lòng Hà Nội - VnExpress,mở_rộng quy_hoạch thủ_đô hà_nội mục_tiêu giãn dân áp_lực hạ_tầng nội_đô đô_thị vệ_tinh hòa_lạc sơn_tây xuân mai_phú xuyên sóc_sơn quy_hoạch treo dân_số thành_phố vượt_ngưỡng dự_báo một_triệu triệu hạ_tầng đô_thị quá_tải thành_phố bắc sông hồng rộng km huyện đông sóc sơn mê_linh dân_số triệu quy_hoạch xây_dựng thủ_đô hà_nội tầm quy_hoạch sóc_sơn đô_thị vệ_tinh thành_phố bắc bao_trùm thành_phố khai_thác lợi_thế sân_bay_nội_bài khu_công_nghiệp tạo_dựng hình_ảnh đô_thị hiện_đại gắn dịch_vụ thành_phố tây rộng km bao_trùm hai đô_thị vệ_tinh hòa_lạc xuân_mai phát_triển mở_rộng sông_tích sông_bùi dân_số triệu hai đô_thị vệ_tinh_sơn tây phú_xuyên thị_trấn sinh_thái thị_trấn cấu_trúc giải_thích lãnh_đạo hà_nội mô_hình thu_hút nguồn_lực đầu_tư hai đô_thị thay_vì đô_thị vệ_tinh_như quy_hoạch đại_diện viện quy_hoạch xây_dựng hà_nội cơ_quan tổ_chức nghiên_cứu giải_thích thành_phố bắc tận_dụng tiềm_năng sân_bay nội_bài lợi_thế trục kinh_tế nhật_tân nội_bài đô_thị cửa_ngõ hà_nội hành_lang kinh_tế côn_minh lào_cai hải_phòng quảng_ninh thành_phố tây đô_thị vệ_tinh_hòa_lạc quy_hoạch thành trung_tâm đầu_não khoa_học_kỹ_thuật công_nghệ_cao trung_tâm đào_tạo giáo_dục chất_lượng cao_xuân_mai xác_định trung_tâm giáo_dục nghiên_cứu dịch_vụ giáo_dục khu_vực tây sẵn cơ_sở_hạ_tầng quốc_gia khu đại_học quốc_gia hà_nội khu công_nghệ_cao hòa_lạc sân_bay quân_sự hòa_lạc miếu_môn bổ_sung chức_năng dân_dụng đồng_tình nghiên_cứu thành_phố thủ_đô tskts ngô trung_hải phó chủ_tịch hội quy_hoạch phát_triển đô_thị việt_nam nhận_xét hà_nội rộng km quy_mô gia_tăng dân_số thuận_lợi thành_lập thành_phố kts đào ngọc_nghiêm phó chủ_tịch hội quy_hoạch phát_triển đô_thị việt_nam tỷ_lệ đất nông_nghiệp huyện mê_linh sóc_sơn huyện_sóc_sơn diện_tích đất nông_nghiệp chiếm tổng diện_tích đất tự_nhiên đất rừng_phòng_hộ lao_động phi nông_nghiệp tiêu_chuẩn đô_thị nghiêm thành_phố bắc bao_gồm huyện sóc_sơn đông mê_linh diện_tích km rộng chênh_lệch đô_thị hóa nguồn_lực đầu_tư phân_tán đề_xuất đông thành_phố trung_tâm bắc thay_vì sóc_sơn mục_tiêu hoàn_thành chỉ_tiêu đô_thị hóa trên_hết thay_vì chú_trọng thay con_dấu cơ_quan_hành_chính nghiêm trần ngọc_chính chủ_tịch hội quy_hoạch phát_triển đô_thị việt_nam huyện đông sóc sơn_mê_linh thành_phố kts ngô trung_hải nhận_định lập thành_phố bắc bất_lợi tổng_thể hà_nội lõi thủ_đô trung_tâm tài_chính triển_lãm quy_hoạch huyện_đông_anh sân_bay nội_bài thủ_đô_hà_nội quản_lý nằm thành_phố chính_quyền quản_lý hà_nội quy_hoạch sông_hồng trục cảnh_quan thành_phố chính_quyền quản_lý khu_vực bắc_nam sông_hồng thủ_tướng phê_duyệt quy_hoạch xây_dựng thủ_đô_hà_nội mô_hình thành_phố thành_phố ủy_ban_thường_vụ_quốc_hội nghị_quyết phân_loại đô_thị nghị_quyết tiêu_chuẩn hành_chính xác_định công_nhận thành_phố thành_phố trực_thuộc trung_ương thủ_đức thành_phố tp_hcm đặc_thù đô_thị phát_triển chính_sách thu_hút đầu_tư đòn_bẩy mô_hình thành_phố thủ_đô khả_thi nghiêm hà_nội học_tập kinh_nghiệm tp_thủ_đức định_hướng phát_triển hai thành_phố tương_lai chính_sách nguồn_lực kts ngô trung_hải thành_phố hà_nội chính_quyền vực khu_vực chính_quyền hà_nội thận_trọng nghiên_cứu phương_án thành_phố bắc tây xây_dựng quy_trình lập thành_phố trực_thuộc thành_phố hà_nội chính_sách thu_hút đầu_tư cơ_chế thành đòn_bẩy thành_lực cản tham_gia xây_dựng quy_hoạch chung_nguyên thứ_trưởng xây_dựng kts trần_ngọc_chính quy_hoạch tầm kế_thừa định_hướng mô_hình đô_thị trung_tâm đô_thị vệ_tinh mô_hình thực_tiễn hà_nội dựa kinh_nghiệm phát_triển thành_phố paris pháp tokyo nhật_bản seoul hàn_quốc thành_phố đô_thị vệ_tinh nằm chức_năng giãn dân đô_thị trung_tâm xây_dựng đô_thị vệ_tinh sống lý_tưởng trần ngọc_chính hà_nội nguồn_lực kết_nối hạ_tầng giao_thông đầu_tư đường_sắt đô_thị cao_tốc đô_thị trung_tâm đô_thị vệ_tinh_ts đào ngọc_nghiêm đề_nghị hà_nội kiên_định mô_hình chùm đô_thị mô_hình hiệu_quả thủ_đô quy_mô rộng_lớn kinh_nghiệm nhật_bản kts trịnh_việt a chuyên_gia kiến_trúc quy_hoạch tokyo bao_gồm thủ_đô_tokyo tỉnh lân_cận đô_thị vệ_tinh giúp giãn dân cân_bằng dân_cư thủ_đô tokyo quy_hoạch dựa tuyến tàu_điện đô_thị bao quanh khu_vực trung_tâm khu_vực đô_thị nén bố_trí hài_hòa cạnh ga tàu đô_thị nén trung_tâm tokyo mặc_dù mật_độ dân_số cao_tầng xảy ùn_tắc giao_thông hệ_thống giao_thông công_cộng thuận_lợi hà_nội kts trịnhh việt_a chính_quyền thành_phố khẩn_trương đầu_tư mạng_lưới giao_thông công_cộng nội_đô kết_nối đô_thị vệ_tinh kiểm_soát mật_độ dân_cư nội_đô hạ_tầng hệ_thống giao_thông hạ_tầng cây_xanh mặt_nước đáp_ứng dân_số an_sinh xã_hội người_dân việt_a
